ticker,company,cik,revenue,shares_outstanding,revenue_per_share
MMM,3M,0000066740,24948000000.0,530279131.0,47.04692027565384
AOS,A. O. Smith,0000091142,3830200000.0,75732188.0,50.5755888104012
ABT,Abbott Laboratories,0000001800,44328000000.0,1737682887.0,25.509832853639654
ABBV,AbbVie,0001551152,61160000000.0,1768169012.0,34.58945360139588
ACN,Accenture,0001467373,69672977000.0,637016143.0,109.37395820438415
ADBE,Adobe Inc.,0000796343,23769000000.0,406000000.0,58.54433497536946
AMD,Advanced Micro Devices,0000002488,34639000000.0,1630000000.0,21.250920245398774
AES,AES Corporation,0000874761,12233000000.0,712201777.0,17.176312100103058
AFL,Aflac,0000004977,17164000000.0,518690000.0,33.091056314947274
A,Agilent Technologies,0001090872,6948000000.0,282695763.0,24.577658774461362
APD,Air Products,0000002969,12037300000.0,222588256.0,54.07877403918381
ABNB,Airbnb,0001559720,12241000000.0,613000000.0,19.96900489396411
AKAM,Akamai Technologies,0001086222,2502996000.0,144711094.0,17.29650388794656
ALB,Albemarle Corporation,0000915913,5142733000.0,117716000.0,43.687629549084235
ARE,Alexandria Real Estate Equities,0001035443,3026556000.0,170537867.0,17.747120057506056
ALGN,Align Technology,0001097149,4034964000.0,71364000.0,56.540608710274086
ALLE,Allegion,0001579241,4067300000.0,86066997.0,47.25737090606287
LNT,Alliant Energy,0000352541,4362000000.0,257137261.0,16.96370251062136
ALL,Allstate,0000899051,67685000000.0,260000000.0,260.3269230769231
GOOGL,Alphabet Inc. (Class A),0001652044,350018000000.0,12088000000.0,28.955823957643943
GOOG,Alphabet Inc. (Class C),0001652044,350018000000.0,12088000000.0,28.955823957643943
MO,Altria,0000764180,23279000000.0,1674318297.0,13.903569017737372
AMZN,Amazon,0001018724,716924000000.0,10731000000.0,66.80868511788277
AMCR,Amcor,0001748790,15009000000.0,13001.0,1154449.657718637
AEE,Ameren,0001002910,8799000000.0,276400000.0,31.834298118668595
AEP,American Electric Power,0000004904,21702000000.0,540861473.0,40.12487685548273
AXP,American Express,0000004962,41304000000.0,686000000.0,60.20991253644315
AIG,American International Group,0000005272,26775000000.0,538200000.0,49.74916387959866
AMT,American Tower,0001053507,935900000.0,466318000.0,2.0069995153521845
AWK,American Water Works,0001410636,5121000000.0,181620003.0,28.196233429199978
AMP,Ameriprise Financial,0000820027,18911000000.0,120607501.0,156.79787611219967
AME,Ametek,0001037868,7401116000.0,229000000.0,32.31928384279476
AMGN,Amgen,0000318154,36751000000.0,538800000.0,68.20898292501856
APH,Amphenol,0000820313,23094700000.0,1226600000.0,18.828224360019565
ADI,Analog Devices,0000006281,11019707000.0,488204157.0,22.571923737224548
AON,Aon plc,0000315293,17181000000.0,269800000.0,63.68050407709414
APA,APA Corporation,0001841666,,352964646.0,
APO,Apollo Global Management,0001858681,32049000000.0,578981398.0,55.354110012356564
AAPL,Apple Inc.,0000320193,416161000000.0,14702703000.0,28.30506744236077
AMAT,Applied Materials,0000006951,28368000000.0,793000000.0,35.77301387137453
APP,AppLovin,0001751008,5480717000.0,338313000.0,16.20013715109972
APTV,Aptiv,0001521332,20398000000.0,212746899.0,95.87918834953265
ACGL,Arch Capital Group,0000947484,19929000000.0,359000000.0,55.5125348189415
ADM,Archer Daniels Midland,0000007084,24956000000.0,481201844.0,51.861812898622226
ARES,Ares Management,0001176948,5601482000.0,313170171.0,17.886384204835394
ANET,Arista Networks,0001596532,9005700000.0,1256500000.0,7.167290091524075
AJG,Arthur J. Gallagher & Co.,0000354190,13942000000.0,257000000.0,54.249027237354085
AIZ,Assurant,0001267238,12814300000.0,49792919.0,257.3518535838399
T,AT&T,0000732717,125648000000.0,7000577201.0,17.948234323028643
ATO,Atmos Energy,0000731802,4702755000.0,165434477.0,28.42669246024213
ADSK,Autodesk,0000769397,7206000000.0,212000000.0,33.990566037735846
ADP,Automatic Data Processing,0000008670,20560900000.0,403000000.0,51.019602977667496
AZO,AutoZone,0000866787,18938717000.0,24611000.0,769.5224493112836
AVB,AvalonBay Communities,0000915912,7042000.0,140080657.0,0.05027103777789963
AVY,Avery Dennison,0000008818,8855500000.0,76877487.0,115.18976940544376
AXON,Axon Enterprise,0001069183,2779536000.0,80211537.0,34.65257123797541
BKR,Baker Hughes,0001701605,27733000000.0,100.0,277330000.0
BALL,Ball Corporation,0000009389,10983000000.0,266077175.0,41.277497778605024
BAC,Bank of America,0000070858,113097000000.0,7212464345.0,15.680770758805048
BAX,Baxter International,0000010456,11244000000.0,514490045.0,21.854650268305967
BDX,Becton Dickinson,0000010795,21840000000.0,284741809.0,76.70106499885304
BRK.B,Berkshire Hathaway,0001067983,247244000000.0,941481.0,262611.778676362
BBY,Best Buy,0000764478,41691000000.0,209100000.0,199.38307030129124
TECH,Bio-Techne,0000842023,1219635000.0,155881291.0,7.824126886401012
BIIB,Biogen,0000875045,9890600000.0,146800000.0,67.37465940054496
BLK,BlackRock,0002012383,24216000000.0,155069171.0,156.16256825155787
BX,Blackstone Inc.,0001393818,14450265000.0,748688068.0,19.300781750938764
XYZ,"Block, Inc.",0001512673,3205500000.0,612243000.0,5.2356662305653145
BK,BNY Mellon,0001390777,20080000000.0,688236337.0,29.176024165663893
BA,Boeing,0000012927,76559000000.0,1012261159.0,75.63166809208768
BKNG,Booking Holdings,0001075531,26917000000.0,31673346.0,849.8312745360089
BSX,Boston Scientific,0000885725,20074000000.0,1399310972.0,14.34563181571337
BMY,Bristol Myers Squibb,0000014272,48194000000.0,2036473705.0,23.665417275790457
AVGO,Broadcom,0001730168,63887000000.0,4736000000.0,13.489653716216216
BR,Broadridge Financial Solutions,0001383312,6889100000.0,116700000.0,59.03256212510711
BRO,Brown & Brown,0000079282,5902000000.0,336000000.0,17.56547619047619
BF.B,Brown–Forman,0000014693,3975000000.0,472669000.0,8.409690502233063
BLDR,Builders FirstSource,0001316835,15190638000.0,110585000.0,137.36617081882716
BG,Bunge Global,0001996862,16944000000.0,193509080.0,87.56178263056184
BXP,"BXP, Inc.",0001037540,3482279000.0,158548298.0,21.96352180330564
CHRW,C.H. Robinson,0001043277,16232763000.0,118429000.0,137.06746658335373
CDNS,Cadence Design Systems,0000813672,5296759000.0,271799000.0,19.48777957240461
CPT,Camden Property Trust,0000906345,12967000.0,104300000.0,0.12432406519654841
CPB,Campbell's Company (The),0000016732,10253000000.0,298146488.0,34.38913558492093
COF,Capital One,0000927628,8062000000.0,625102271.0,12.897089602798772
CAH,Cardinal Health,0000721371,222578000000.0,235316016.0,945.8684699132422
CCL,Carnival,0000815097,26622000000.0,1239000212.0,21.48667913222278
CARR,Carrier Global,0001783180,21747000000.0,836141122.0,26.00876745301375
CVNA,Carvana,0001690820,20322000000.0,137634000.0,147.6524695932691
